"조명장치",110.30,110.30,110.52,110.56,110.56,110.81
"기타전기장비",125.26,125.38,125.52,125.78,125.77,125.98
"기계및장비",110.20,110.77,110.88,110.82,110.86,110.90
"일반목적용기계",114.92,115.08,115.21,115.21,115.25,115.35
"내연기관및터빈",122.91,123.05,123.69,123.69,121.95,121.95
"내연기관및터빈",122.91,123.05,123.69,123.69,121.95,121.95
"펌프및압축기",119.20,120.23,120.52,120.52,121.05,120.76
"펌프및압축기",119.20,120.23,120.52,120.52,121.05,120.76
"일반목적용기계부품",114.46,114.49,114.66,114.68,114.68,115.67
"밸브",110.98,110.98,111.25,111.31,111.31,112.94
"베어링,기어및동력전달장치",118.84,118.92,118.92,118.92,118.92,119.01
"산업용운반기계",113.81,113.81,113.70,113.70,113.70,113.70
"산업용운반기계",113.81,113.81,113.70,113.70,113.70,113.70
"공기및액체조절장치",110.19,110.65,110.79,110.78,111.00,111.00
"공기조절장치및냉장냉동장비",111.22,111.93,112.14,112.14,112.46,112.46
"공기및액체여과기",108.22,108.22,108.22,108.22,108.22,108.22
"기타일반목적용기계",119.96,118.94,118.94,118.94,118.96,118.96
"사무용기기",107.13,107.13,107.13,107.13,107.17,107.17
"기타일반목적용기계",123.16,121.92,121.92,121.92,121.92,121.92
"특수목적용기계",105.19,106.20,106.28,106.17,106.19,106.18
"농업및건설용기계",106.94,106.94,106.94,106.94,106.94,107.12
"농업용기계",98.24,98.24,98.24,98.24,98.24,98.24
"건설및광물처리기계",113.00,113.00,113.00,113.00,113.00,113.31
"금속가공용기계",113.17,113.17,113.84,113.69,113.69,113.19
"금속가공용기계",113.17,113.17,113.84,113.69,113.69,113.19
"금형및주형",107.80,111.99,111.99,111.68,111.81,111.81
"금형및주형",107.80,111.99,111.99,111.68,111.81,111.81
"반도체및디스플레이제조용기계",100.14,100.14,100.14,100.14,100.14,100.14
"반도체제조용기계",100.44,100.44,100.44,100.44,100.44,100.44
"디스플레이제조용기계",98.94,98.94,98.94,98.94,98.94,98.94
"기타특수목적용기계",106.04,106.04,106.09,106.00,105.95,106.02
"산업용로봇",104.54,104.54,104.54,104.54,104.54,104.54
"제지및인쇄기계",100.00,100.00,100.00,100.00,100.00,100.00
"고무및플라스틱성형기계",108.20,108.20,108.20,108.20,108.20,108.20
"기타특수목적용기계",109.82,109.82,109.99,109.70,109.50,109.76
"운송장비",107.07,107.16,107.33,107.40,107.85,107.89
"자동차",107.07,107.14,107.33,107.40,107.85,107.89
"자동차",107.57,107.56,107.56,107.61,107.69,107.74
"승용차",107.42,107.41,107.41,107.47,107.51,107.57
"버스",108.28,108.28,108.28,108.28,109.16,109.30
"트럭",108.68,108.68,108.68,108.68,108.68,108.68
"특장차및트레일러",110.78,110.78,110.78,110.78,110.78,110.78
"특장차",110.78,110.78,110.78,110.78,110.78,110.78
"자동차부품",106.61,106.74,107.01,107.10,107.76,107.79
"자동차용엔진",105.25,105.25,105.30,105.63,106.63,106.86
"자동차부분품",106.94,107.10,107.43,107.45,108.02,108.01
"기타운송장비",108.84,108.84,107.12,107.12,107.12,107.12
"기타운송장비",108.84,108.84,107.12,107.12,107.12,107.12
"모터사이클",108.84,108.84,107.12,107.12,107.12,107.12
"기타제조업제품",122.51,122.59,123.44,123.44,123.41,123.41
"기타제조업제품",122.51,122.59,123.44,123.44,123.41,123.41
"가구",126.08,126.08,127.15,127.15,127.15,127.07
"목재가구",128.08,128.08,129.48,129.48,129.48,129.48
"금속가구",119.91,119.91,119.91,119.91,119.91,119.91
"기타가구",121.48,121.48,122.18,122.18,122.18,121.67
"기타제조업제품",116.43,116.65,117.12,117.12,117.06,117.20
"장난감및오락용품",98.56,98.56,98.56,98.56,98.56,98.56
"운동및경기용품",102.59,102.59,102.59,102.59,102.59,102.59
"문구용품",127.41,129.50,129.50,129.50,129.50,129.50
"기타제조업제품",128.24,128.34,129.30,129.30,129.18,129.46
"전력,가스,수도및폐기물",143.63,143.47,142.87,144.55,145.84,146.96
"전력,가스및증기",153.41,153.04,152.23,154.42,156.11,157.54
"전력",152.04,152.04,149.47,149.47,152.04,154.41
"전력",152.04,152.04,149.47,149.47,152.04,154.41
"전력",152.04,152.04,149.47,149.47,152.04,154.41
"가스,증기및온수",152.25,151.13,153.97,160.60,160.44,159.84
"도시가스",151.64,149.82,151.67,160.00,160.55,159.18
"도시가스",151.64,149.82,151.67,160.00,160.55,159.18
"증기및온수공급",153.27,154.77,161.52,161.41,158.44,160.90
"증기및온수공급",153.27,154.77,161.52,161.41,158.44,160.90
"수도,폐기물처리및재활용서비스",108.38,108.85,108.92,108.94,108.94,109.15
"수도",110.99,112.67,112.91,112.91,112.94,113.32
"수도",110.99,112.67,112.91,112.91,112.94,113.32
"수도",110.99,112.67,112.91,112.91,112.94,113.32
"폐수처리",113.17,114.11,114.20,114.27,114.27,114.93
"폐수처리",113.17,114.11,114.20,114.27,114.27,114.93
"하수,폐수및분뇨처리",113.17,114.11,114.20,114.27,114.27,114.93
"폐기물처리및자원재활용서비스",105.88,105.88,105.88,105.88,105.88,105.88
"폐기물처리",105.89,105.89,105.89,105.89,105.89,105.89
"폐기물수집,운반및처리",105.89,105.89,105.89,105.89,105.89,105.89
"서비스",110.55,110.66,110.88,110.92,110.74,110.92
"운송서비스",111.22,111.40,111.15,111.53,111.00,111.15
"육상운송서비스",114.15,114.03,113.37,113.42,113.54,114.01
"철도운송서비스",105.16,105.16,105.16,105.16,105.16,105.16
"철도운송서비스",105.16,105.16,105.16,105.16,105.16,105.16
"도로운송서비스",115.43,115.32,114.57,114.63,114.77,115.30
"도로여객운송서비스",120.63,120.29,119.94,120.10,120.51,122.10
"도로화물운송서비스",113.47,113.47,112.52,112.52,112.52,112.52
"수상운송서비스",93.87,94.13,93.39,91.89,92.10,91.89
"수상운송서비스",93.87,94.13,93.39,91.89,92.10,91.89
"연안및내륙수상운송서비스",107.84,107.81,107.60,107.81,110.08,109.30
"외항운송서비스",114.38,115.37,113.16,107.44,103.62,104.42
"항공운송서비스",114.01,114.66,115.78,120.71,113.06,112.10
"항공운송서비스",114.01,114.66,115.78,120.71,113.06,112.10
"항공운송서비스",114.01,114.66,115.78,120.71,113.06,112.10
"창고및운송보조서비스",101.91,102.37,102.38,102.47,102.35,102.36
"운송보조서비스",98.25,98.28,98.26,98.26,98.30,98.32
"육상운송보조서비스",97.74,97.79,97.76,97.76,97.82,97.85
"수상운송보조서비스",100.42,100.42,100.42,100.42,100.42,100.42
"항공운송보조서비스",100.00,100.00,100.00,100.00,100.00,100.00
"하역서비스",111.10,111.10,111.10,112.04,112.04,112.04
"하역서비스",111.10,111.10,111.10,112.04,112.04,112.04
"보관및창고서비스",103.14,104.05,104.09,104.05,103.79,103.79
"보관및창고서비스",103.14,104.05,104.09,104.05,103.79,103.79
"우편및소화물전문운송서비스",126.98,126.98,126.98,126.98,127.01,127.21
"공영우편서비스",105.46,105.46,105.46,105.46,105.46,105.46
"공영우편서비스",105.46,105.46,105.46,105.46,105.46,105.46
"소화물전문운송서비스",138.17,138.17,138.17,138.17,138.22,138.51
"소화물전문운송서비스",138.17,138.17,138.17,138.17,138.22,138.51
"음식점및숙박서비스",120.36,120.67,121.12,121.39,120.87,121.43
