"북아메리카",미국,16.857 (annual %),6.037 (annual growth as % of broad money),12.673 (annual growth as % of broad money),-,3.250 (%),-1.276 (%),-0.843 (annual %),3.197 (annual growth as % of broad money),-3.918 (annual growth as % of broad money),-,-,-,1.776 (annual %),2.015 (annual growth as % of broad money),-0.369 (annual growth as % of broad money),-,-,-
"남아메리카",앤티가바부다,13.865 (annual %),0.261 (annual growth as % of broad money),1.130 (annual growth as % of broad money),1.582 (%),7.392 (%),2.362 (%),4.596 (annual %),-1.644 (annual growth as % of broad money),0.731 (annual growth as % of broad money),1.555 (%),7.315 (%),0.766 (%),4.572 (annual %),4.651 (annual growth as % of broad money),-1.009 (annual growth as % of broad money),1.362 (%),6.699 (%),1.807 (%)
"남아메리카",아르헨티나,51.265 (annual %),19.015 (annual growth as % of broad money),37.053 (annual growth as % of broad money),33.545 (%),35.558 (%),-11.884 (%),84.946 (annual %),27.994 (annual growth as % of broad money),69.502 (annual growth as % of broad money),52.417 (%),52.399 (%),-10.074 (%),156.430 (annual %),62.744 (annual growth as % of broad money),347.133 (annual growth as % of broad money),95.414 (%),97.021 (%),-15.745 (%)
"남아메리카",아루바,11.842 (annual %),-,-1.349 (annual growth as % of broad money),1.700 (%),6.400 (%),11.988 (%),3.323 (annual %),-,-0.154 (annual growth as % of broad money),1.800 (%),6.100 (%),2.598 (%),-,-,-,-,-,-
"남아메리카",바하마,4.339 (annual %),-3.640 (annual growth as % of broad money),4.882 (annual growth as % of broad money),0.522 (%),4.250 (%),5.380 (%),9.362 (annual %),0.976 (annual growth as % of broad money),3.984 (annual growth as % of broad money),0.518 (%),4.250 (%),-0.049 (%),-,-0.760 (annual growth as % of broad money),3.523 (annual growth as % of broad money),0.538 (%),4.250 (%),-1.969 (%)
"남아메리카",바베이도스,5.971 (annual %),-0.103 (annual growth as % of broad money),4.053 (annual growth as % of broad money),0.150 (%),8.050 (%),3.198 (%),5.346 (annual %),2.484 (annual growth as % of broad money),3.980 (annual growth as % of broad money),0.143 (%),8.050 (%),3.819 (%),0.938 (annual %),1.428 (annual growth as % of broad money),0.010 (annual growth as % of broad money),-,-,-
"남아메리카",벨리즈,12.392 (annual %),1.184 (annual growth as % of broad money),-2.398 (annual growth as % of broad money),2.229 (%),8.438 (%),7.943 (%),3.481 (annual %),3.795 (annual growth as % of broad money),0.673 (annual growth as % of broad money),2.222 (%),8.523 (%),1.079 (%),8.214 (annual %),4.330 (annual growth as % of broad money),3.061 (annual growth as % of broad money),2.083 (%),8.438 (%),-2.218 (%)
"남아메리카",볼리비아,6.358 (annual %),3.668 (annual growth as % of broad money),4.794 (annual growth as % of broad money),3.157 (%),8.017 (%),3.906 (%),-,5.000 (annual growth as % of broad money),3.695 (annual growth as % of broad money),3.208 (%),7.765 (%),2.512 (%),-,-,-,3.180 (%),8.644 (%),6.828 (%)
"남아메리카",브라질,12.259 (annual %),12.848 (annual growth as % of broad money),-1.154 (annual growth as % of broad money),4.348 (%),30.017 (%),15.011 (%),13.277 (annual %),10.793 (annual growth as % of broad money),4.460 (annual growth as % of broad money),11.999 (%),39.400 (%),28.396 (%),14.582 (annual %),6.919 (annual growth as % of broad money),9.007 (annual growth as % of broad money),12.139 (%),43.600 (%),37.208 (%)
"남아메리카",칠레,19.285 (annual %),10.045 (annual growth as % of broad money),2.561 (annual growth as % of broad money),1.277 (%),-,-,3.792 (annual %),10.214 (annual growth as % of broad money),0.024 (annual growth as % of broad money),8.986 (%),-,-,2.612 (annual %),3.301 (annual growth as % of broad money),-0.188 (annual growth as % of broad money),10.408 (%),-,-
"남아메리카",콜롬비아,11.960 (annual %),10.354 (annual growth as % of broad money),1.123 (annual growth as % of broad money),2.073 (%),9.338 (%),1.425 (%),10.414 (annual %),16.868 (annual growth as % of broad money),1.316 (annual growth as % of broad money),8.500 (%),15.808 (%),0.819 (%),6.081 (annual %),3.695 (annual growth as % of broad money),2.281 (annual growth as % of broad money),13.213 (%),21.031 (%),13.807 (%)
"남아메리카",코스타리카,8.769 (annual %),5.825 (annual growth as % of broad money),6.004 (annual growth as % of broad money),1.607 (%),5.512 (%),3.065 (%),-2.355 (annual %),3.455 (annual growth as % of broad money),-4.651 (annual growth as % of broad money),3.072 (%),7.361 (%),1.017 (%),5.224 (annual %),2.474 (annual growth as % of broad money),-3.442 (annual growth as % of broad money),5.075 (%),9.097 (%),9.193 (%)
"남아메리카",도미니카연방,1.831 (annual %),1.677 (annual growth as % of broad money),8.255 (annual growth as % of broad money),1.683 (%),6.298 (%),3.176 (%),-1.257 (annual %),1.356 (annual growth as % of broad money),-1.531 (annual growth as % of broad money),1.616 (%),6.537 (%),2.872 (%),-0.450 (annual %),-2.249 (annual growth as % of broad money),-0.215 (annual growth as % of broad money),1.632 (%),5.936 (%),2.984 (%)
"남아메리카",도미니카공화국,13.704 (annual %),7.877 (annual growth as % of broad money),4.327 (annual growth as % of broad money),2.485 (%),9.608 (%),1.699 (%),5.568 (annual %),11.804 (annual growth as % of broad money),1.601 (annual growth as % of broad money),6.739 (%),11.850 (%),1.026 (%),14.344 (annual %),14.668 (annual growth as % of broad money),2.731 (annual growth as % of broad money),9.162 (%),14.435 (%),7.527 (%)
"남아메리카",에콰도르,12.605 (annual %),13.751 (annual growth as % of broad money),3.901 (annual growth as % of broad money),4.163 (%),-,-,10.120 (annual %),13.799 (annual growth as % of broad money),-1.673 (annual growth as % of broad money),4.159 (%),-,-,5.216 (annual %),9.051 (annual growth as % of broad money),2.703 (annual growth as % of broad money),5.863 (%),-,-
"남아메리카",엘살바도르,2.258 (annual %),5.483 (annual growth as % of broad money),3.359 (annual growth as % of broad money),-,-,-,4.650 (annual %),9.584 (annual growth as % of broad money),4.157 (annual growth as % of broad money),-,-,-,8.884 (annual %),4.755 (annual growth as % of broad money),4.002 (annual growth as % of broad money),-,-,-
"남아메리카",그레나다,8.496 (annual %),4.005 (annual growth as % of broad money),-0.065 (annual growth as % of broad money),1.172 (%),6.545 (%),3.653 (%),9.886 (annual %),1.356 (annual growth as % of broad money),2.648 (annual growth as % of broad money),0.891 (%),6.438 (%),4.736 (%),1.361 (annual %),2.970 (annual growth as % of broad money),-7.947 (annual growth as % of broad money),0.899 (%),6.930 (%),3.945 (%)
"남아메리카",과테말라,8.024 (annual %),6.750 (annual growth as % of broad money),-0.854 (annual growth as % of broad money),4.138 (%),12.188 (%),9.245 (%),7.008 (annual %),8.701 (annual growth as % of broad money),0.119 (annual growth as % of broad money),3.907 (%),11.923 (%),5.365 (%),6.059 (annual %),8.707 (annual growth as % of broad money),-1.293 (annual growth as % of broad money),4.208 (%),11.962 (%),6.709 (%)
"남아메리카",가이아나,13.771 (annual %),4.967 (annual growth as % of broad money),12.586 (annual growth as % of broad money),0.795 (%),8.875 (%),-11.102 (%),15.498 (annual %),6.717 (annual growth as % of broad money),5.560 (annual growth as % of broad money),0.775 (%),8.417 (%),-3.189 (%),22.086 (annual %),8.087 (annual growth as % of broad money),13.130 (annual growth as % of broad money),0.775 (%),8.375 (%),26.398 (%)
"남아메리카",아이티,35.493 (annual %),6.807 (annual growth as % of broad money),21.588 (annual growth as % of broad money),4.939 (%),13.348 (%),-4.718 (%),31.522 (annual %),7.859 (annual growth as % of broad money),13.038 (annual growth as % of broad money),3.608 (%),11.095 (%),-14.674 (%),-,-5.051 (annual growth as % of broad money),1.102 (annual growth as % of broad money),-,-,-
"남아메리카",온두라스,9.096 (annual %),10.509 (annual growth as % of broad money),2.422 (annual growth as % of broad money),5.804 (%),15.966 (%),10.860 (%),12.811 (annual %),17.748 (annual growth as % of broad money),-1.558 (annual growth as % of broad money),4.276 (%),14.607 (%),4.844 (%),11.141 (annual %),18.483 (annual growth as % of broad money),2.002 (annual growth as % of broad money),5.935 (%),14.399 (%),7.742 (%)
"남아메리카",자메이카,13.473 (annual %),6.608 (annual growth as % of broad money),-1.640 (annual growth as % of broad money),2.585 (%),11.493 (%),3.786 (%),8.521 (annual %),8.230 (annual growth as % of broad money),-1.725 (annual growth as % of broad money),4.058 (%),11.405 (%),-1.235 (%),11.863 (annual %),8.584 (annual growth as % of broad money),-0.276 (annual growth as % of broad money),5.817 (%),11.652 (%),-0.031 (%)
"남아메리카",니카라과,13.823 (annual %),3.612 (annual growth as % of broad money),-1.792 (annual growth as % of broad money),1.494 (%),9.620 (%),5.868 (%),11.332 (annual %),9.907 (annual growth as % of broad money),-8.758 (annual growth as % of broad money),1.169 (%),9.229 (%),0.414 (%),-,-,-,2.121 (%),9.482 (%),-1.072 (%)
"남아메리카",파나마,-,-,-,-,6.937 (%),4.906 (%),-,-,-,-,6.908 (%),4.352 (%),-,-,-,-,-,-
